Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5j9iuo3tMmQIfnEEQOOjxh,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,1,false,1280011281,2014-08-07T23:25:21Z,"","Universal Music Group",0.67,0.905,2,-2.385,1,0.0339,0.0625,0.000151,0.0577,0.516,100.021,4
spotify:track:2VhPOtIQw2UpQmRVevdviU,"Bang Bang","Bang Bang","Jessie J;Ariana Grande;Nicki Minaj",2014-07-29,199373,53,false,1280011281,2014-08-07T23:25:27Z,"pop","Lava Music/Republic Records",0.707,0.752,0,-4.401,0,0.0885,0.269,0,0.377,0.724,150.061,4
spotify:track:5HgYrY0MHqt5Iwd2aRR0xh,"Love Someone","Love Someone","Jason Mraz",2014-05-19,256972,38,false,1280011281,2014-08-07T23:25:37Z,"soft pop,acoustic pop","Atlantic Records",0.58,0.363,7,-14.185,1,0.0306,0.306,0.00677,0.111,0.0745,97.97,4
spotify:track:0NenBmcPtlaBGYAhU798G4,"Problem","Problem","Ariana Grande;Iggy Azalea",2014-04-28,193986,1,false,1280011281,2014-08-07T23:25:45Z,"pop","Universal Records",0.653,0.802,1,-5.317,0,0.215,0.0214,0.0000193,0.108,0.589,102.993,4
spotify:track:15uFqHGAOvaGCqikvgiW6w,"Sleepless - Radio Edit","Sleepless","CAZZETTE;The High",2014-05-12,221421,0,false,1280011281,2014-08-07T23:25:57Z,"edm,electro swing","ICONS Music",0.722,0.635,6,-9.6,0,0.0419,0.141,0.000873,0.3,0.53,123.999,4
spotify:track:1zVhMuH7agsRe6XkljIY4U,"human","human","Christina Perri",2013-11-18,250706,53,false,1280011281,2014-08-07T23:26:36Z,"soft pop","Atlantic Records",0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,4
spotify:track:294z5BgFzm1nUSjVwbQqFG,"Replay","Replay","Iyaz",2009-12-31,181760,52,false,1280011281,2014-08-07T23:27:43Z,"","Time Is Money/Beluga Heights/Reprise",0.721,0.786,9,-5.398,1,0.0553,0.172,0,0.174,0.176,91.027,4
spotify:track:5M8nEsWqUkwUwCp58ydE4W,"Run This Town [Jay-Z + Rihanna + Kanye West]","Run This Town [Jay-Z, Rihanna, & Kanye West]","JAY-Z",2009-07-24,267520,1,true,1280011281,2014-08-07T23:28:21Z,"hip hop,east coast hip hop,rap","Roc Nation",0.653,0.928,1,-1.787,1,0.24,0.289,0,0.299,0.416,86.764,4
spotify:track:7ATgSish8Syae1GPnxRmcK,"Evacuate The Dancefloor - Radio Edit","Evacuate The Dancefloor","Cascada",2009-01-01,205880,27,false,1280011281,2014-08-07T23:28:42Z,"europop,eurodance","All Around The World",0.761,0.699,0,-5.845,1,0.0445,0.0173,0,0.265,0.893,127.007,4
spotify:track:14q14Lv5EA8BQ6tXjYj7Li,"Good Girls Go Bad (feat. Leighton Meester)","Good Girls Go Bad (feat. Leighton Meester)","Cobra Starship;Leighton Meester",2009-05-11,196600,30,false,1280011281,2014-08-07T23:29:11Z,"","Fueled By Ramen",0.593,0.87,0,-3.873,1,0.0778,0.00909,0,0.461,0.622,119.978,4
spotify:track:1dzQoRqT5ucxXVaAhTcT0J,"Just Dance","The Fame","Lady Gaga;Colby O'Donis",2008-01-01,241933,84,false,1280011281,2014-08-07T23:29:20Z,"art pop,pop","Streamline/Interscope",0.822,0.739,1,-4.541,0,0.0311,0.0264,0.0000428,0.181,0.745,118.99,4
spotify:track:44XBLYMVEt5vJcb5qXfQ7V,"Alejandro","The Fame Monster (International Deluxe)","Lady Gaga",2009-01-01,274213,0,false,1280011281,2014-08-07T23:30:38Z,"art pop,pop","Universal Music Group",0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,4
spotify:track:0qrygmoF92bdqA1ifQN0ZE,"When I Grow Up","Pussycat Dolls Hit Pac - 5 Series","The Pussycat Dolls",2008-12-22,246493,0,false,1280011281,2014-08-07T23:30:43Z,"","Universal Music International Ltd.",0.681,0.687,11,-5.958,0,0.0461,0.00181,0,0.377,0.354,118.47,4
spotify:track:6UaRii9AH6Zss9xNMEQ2M9,"Love The Way You Lie","Recovery","Eminem;Rihanna",2010-06-18,263373,5,true,1280011281,2014-08-07T23:31:17Z,"rap,hip hop","Universal Music Group",0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,4
spotify:track:0AgBcWDlfNvn28JohIuG9m,"Nothin' On You - feat. Bruno Mars","Nothin' On You [feat. Bruno Mars]","B.o.B",2009-12-15,269626,0,false,1280011281,2014-08-07T23:31:27Z,"","Rebel Rock/Atlantic",0.704,0.885,10,-4.296,1,0.0542,0.468,0,0.0838,0.708,103.983,4
spotify:track:6OEolOOk9Gh9bqkdpfIOl0,"Ridin' Solo","Jason Derulo (International)","Jason Derulo",2010-02-26,215746,67,false,1280011281,2014-08-07T23:31:37Z,"","Beluga Heights/Warner Records",0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,4
spotify:track:76fPgZgFqMJql3vOShaidz,"OMG","OMG","USHER;will.i.am",2010-03-12,269733,0,false,1280011281,2014-08-07T23:31:45Z,"r&b","LaFace Records",0.782,0.738,4,-5.857,0,0.0343,0.166,0.00000834,0.349,0.311,129.99,4
spotify:track:5tXyNhNcsnn7HbcABntOSf,"DJ Got Us Fallin' In Love (feat. Pitbull)","DJ Got Us Fallin' In Love (feat. Pitbull)","USHER;Pitbull",2010-07-13,222160,1,false,1280011281,2014-08-07T23:32:12Z,"r&b","LaFace Records",0.666,0.878,7,-2.85,0,0.0973,0.03,0,0.0828,0.669,119.932,4
spotify:track:00BuKLSAFkaEkaVAgIMbeA,"Telephone","The Fame Monster (International Deluxe)","Lady Gaga;Beyoncé",2009-01-01,220626,2,false,1280011281,2014-08-07T23:32:16Z,"art pop,pop","Universal Music Group",0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,4
spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,"Fix You","X&Y","Coldplay",2005-06-07,295533,86,false,1280011281,2014-08-07T23:32:33Z,"","Parlophone Records Limited",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4
spotify:track:4q7XSM6laraTPDglxDqn28,"My First Kiss (feat. Ke$ha)","My First Kiss (feat. Ke$ha)","3OH!3;Kesha",2010-05-04,192520,17,false,1280011281,2014-08-07T23:32:38Z,"","Photo Finish",0.699,0.803,7,-6.387,1,0.0793,0.00757,0.00000162,0.341,0.862,138.074,4
spotify:track:5jaz6aiRknA63NIYWdbr2O,"We R Who We R","We R Who We R","Kesha",2010-10-22,204826,0,false,1280011281,2014-08-07T23:33:01Z,"","RCA Records Label",0.739,0.818,8,-5.062,1,0.0418,0.008,0.00504,0.164,0.713,119.982,4
spotify:track:5m5TRf7ggoguXtcXQGprN4,"Written in the Stars (feat. Eric Turner)","Written in the Stars (feat. Eric Turner)","Tinie Tempah;Eric Turner",2010-09-03,207653,60,false,1280011281,2014-08-07T23:33:05Z,"grime","Parlophone UK",0.656,0.931,7,-4.188,1,0.0981,0.0613,0,0.219,0.534,91.881,4
spotify:track:2M9ULmQwTaTGmAdXaXpfz5,"Billionaire (feat. Bruno Mars)","Billionaire (feat. Bruno Mars)","Travie McCoy;Bruno Mars",2010-03-09,211160,72,true,1280011281,2014-08-07T23:33:11Z,"","Decaydance/Fueled By Ramen",0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
